"prompt","gold","task_name"
"For clinical trial NCT02294461. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with E
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","ENZALUTAMIDE","Ingredient"
"First, for clinical trial NCT02294461 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ASTELLAS PHARMA US INC","Applicant_Full_Name"
"First, for clinical trial NCT02294461 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Aug 13, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT02294461 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Nov 17, 2026","Exclusivity_Date"
"For clinical trial NCT02294461, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","15.989999771118164","Open_on_Approval"
"For clinical trial NCT00262769. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with G
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","GEMCITABINE HYDROCHLORIDE","Ingredient"
"First, for clinical trial NCT00262769 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","SUN PHARMACEUTICAL INDUSTRIES LTD","Applicant_Full_Name"
"First, for clinical trial NCT00262769 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Jul 1, 2033","Patent_Expire_Date_Text"
"For clinical trial NCT00262769 among the more effective regimen ingredients, identify which ingredient starts with the letter G.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT00262769, review the more effective regimen ingredients and identify which ingredient starts with the letter G.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT02257736. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with AP
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","APALUTAMIDE","Ingredient"
"For clinical trial NCT02257736. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with AP.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","JANSSEN BIOTECH INC","Applicant_Full_Name"
"For clinical trial NCT02257736. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with AP.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Mar 27, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT02257736 among the more effective regimen ingredients, identify which ingredient starts with the letter A.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT02257736. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with AP.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","157.02000427246094","Open_on_Approval"
"For clinical trial NCT03800134. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with P
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","PEMETREXED DISODIUM","Ingredient"
"First, for clinical trial NCT03800134 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","SHILPA MEDICARE LTD","Applicant_Full_Name"
"First, for clinical trial NCT03800134 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Mar 26, 2035","Patent_Expire_Date_Text"
"For clinical trial NCT03800134 among the more effective regimen ingredients, identify which ingredient starts with the letter P.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT03800134, review the more effective regimen ingredients and identify which ingredient starts with the letter P.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT00974311. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with E
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","ENZALUTAMIDE","Ingredient"
"First, for clinical trial NCT00974311 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ASTELLAS PHARMA US INC","Applicant_Full_Name"
"First, for clinical trial NCT00974311 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Aug 13, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT00974311 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Nov 17, 2026","Exclusivity_Date"
"For clinical trial NCT00974311, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","15.989999771118164","Open_on_Approval"
"For clinical trial NCT02838420. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with C
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","CRIZOTINIB","Ingredient"
"First, for clinical trial NCT02838420 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","PF PRISM CV","Applicant_Full_Name"
"First, for clinical trial NCT02838420 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 12, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT02838420 among the more effective regimen ingredients, identify which ingredient starts with the letter C.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Jul 14, 2025","Exclusivity_Date"
"For clinical trial NCT02838420, review the more effective regimen ingredients and identify which ingredient starts with the letter C.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","34.470001220703125","Open_on_Approval"
"For clinical trial NCT01108445. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with E
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","EVEROLIMUS","Ingredient"
"First, for clinical trial NCT01108445 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","NOVARTIS PHARMACEUTICALS CORP","Applicant_Full_Name"
"First, for clinical trial NCT01108445 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 1, 2026","Patent_Expire_Date_Text"
"For clinical trial NCT01108445 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT01108445, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","49.51612854003906","Open_on_Approval"
"For clinical trial NCT00355108. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with T
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","TRANEXAMIC ACID","Ingredient"
"First, for clinical trial NCT00355108 among the more effective regimen ingredients, identify which ingredient starts with the letter T.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","AMRING PHARMACEUTICALS INC","Applicant_Full_Name"
"First, for clinical trial NCT00355108 among the more effective regimen ingredients, identify which ingredient starts with the letter T.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Mar 4, 2025","Patent_Expire_Date_Text"
"For clinical trial NCT00355108 among the more effective regimen ingredients, identify which ingredient starts with the letter T.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT00355108, review the more effective regimen ingredients and identify which ingredient starts with the letter T.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT01938001. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with L
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","LENALIDOMIDE","Ingredient"
"First, for clinical trial NCT01938001 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","BRISTOL MYERS SQUIBB","Applicant_Full_Name"
"First, for clinical trial NCT01938001 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Apr 27, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT01938001 among the more effective regimen ingredients, identify which ingredient starts with the letter L.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","May 28, 2026","Exclusivity_Date"
"For clinical trial NCT01938001, review the more effective regimen ingredients and identify which ingredient starts with the letter L.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","46.72999954223633","Open_on_Approval"
"For clinical trial NCT00333775. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","DOCETAXEL","Ingredient"
"First, for clinical trial NCT00333775 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ZHUHAI BEIHAI BIOTECH CO LTD","Applicant_Full_Name"
"First, for clinical trial NCT00333775 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 16, 2036","Patent_Expire_Date_Text"
"For clinical trial NCT00333775 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT00333775, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT00391092. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","DOCETAXEL","Ingredient"
"First, for clinical trial NCT00391092 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ZHUHAI BEIHAI BIOTECH CO LTD","Applicant_Full_Name"
"First, for clinical trial NCT00391092 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 16, 2036","Patent_Expire_Date_Text"
"For clinical trial NCT00391092 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT00391092, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT00071799. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with A
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","AZACITIDINE","Ingredient"
"First, for clinical trial NCT00071799 among the more effective regimen ingredients, identify which ingredient starts with the letter A.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","BRISTOL MYERS SQUIBB CO","Applicant_Full_Name"
"First, for clinical trial NCT00071799 among the more effective regimen ingredients, identify which ingredient starts with the letter A.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 14, 2029","Patent_Expire_Date_Text"
"For clinical trial NCT00071799 among the more effective regimen ingredients, identify which ingredient starts with the letter A.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Sep 1, 2027","Exclusivity_Date"
"For clinical trial NCT00071799, review the more effective regimen ingredients and identify which ingredient starts with the letter A.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","62.20000076293945","Open_on_Approval"
"For clinical trial NCT01949337. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with E
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","ENZALUTAMIDE","Ingredient"
"First, for clinical trial NCT01949337 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ASTELLAS PHARMA US INC","Applicant_Full_Name"
"First, for clinical trial NCT01949337 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Aug 13, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT01949337 among the more effective regimen ingredients, identify which ingredient starts with the letter E.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Nov 17, 2026","Exclusivity_Date"
"For clinical trial NCT01949337, review the more effective regimen ingredients and identify which ingredient starts with the letter E.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","15.989999771118164","Open_on_Approval"
"For clinical trial NCT00021255. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with D
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","DOCETAXEL","Ingredient"
"First, for clinical trial NCT00021255 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","ZHUHAI BEIHAI BIOTECH CO LTD","Applicant_Full_Name"
"First, for clinical trial NCT00021255 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","May 16, 2036","Patent_Expire_Date_Text"
"For clinical trial NCT00021255 among the more effective regimen ingredients, identify which ingredient starts with the letter D.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","NA","Exclusivity_Date"
"For clinical trial NCT00021255, review the more effective regimen ingredients and identify which ingredient starts with the letter D.

Then, determine which pharmaceutical company received the most recent FDA approval (up until December 2024) for this identified ingredient.
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.

If this company is listed on any US stock market (including over-the-counter markets), provide:
1. The stock ticker symbol
2. The opening stock price on the FDA approval date

If the company is not listed on any US stock market, please indicate ""NOT LISTED"".","Not_Listed","Open_on_Approval"
"For clinical trial NCT00720512. Among the more effective regimen ingredients; find which is the ingredient with the first letter start with I
 return only the name of the ingredient or unknown in all CAPS in the format of INGREDIENT: name","IRINOTECAN HYDROCHLORIDE","Ingredient"
"First, for clinical trial NCT00720512 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals. 
Return only the company name in format of COMPANY: name.","IPSEN BIOPHARMACEUTICALS INC","Applicant_Full_Name"
"First, for clinical trial NCT00720512 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its patent expiration date?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
Return only the date only the year YYYY format of date: YYYY.","Jan 6, 2027","Patent_Expire_Date_Text"
"For clinical trial NCT00720512 among the more effective regimen ingredients, identify which ingredient starts with the letter I.

Then, for this identified ingredient that was last approved up till Dec, 2024, when is its exclusivity date according to the FDA?
Note that we are only look for overall FDA drug approval, not new indidcation, not supplemental approvals.
If no exclusivity date exists or if it's not available, respond with 'DATE: NA'. Otherwise, return only the date in MM-DD-YYYY format of date: MM-DD-YYYY.","Feb 13, 2031","Exclusivity_Date"
