prompt,gold,Applicant_Full_Name_prompt
"""For clinical trial NCT00974311. Among the more effective regimen ingredients, find which ingredient starts with the letter 'E'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",ENZALUTAMIDE,Ingredient
"""For clinical trial NCT02838420. Among the less effective regimen ingredients, find which ingredient starts with the letter 'C'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",CRIZOTINIB,Ingredient
"""For clinical trial NCT01938001. Among the more effective regimen ingredients, find which ingredient starts with the letter 'L'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",LENALIDOMIDE,Ingredient
"""For clinical trial NCT00071799. Among the more effective regimen ingredients, find which ingredient starts with the letter 'A'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",AZACITIDINE,Ingredient
"""For clinical trial NCT00720512. Among the more effective regimen ingredients, find which ingredient starts with the letter 'I'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",IRINOTECAN HYDROCHLORIDE,Ingredient
"""For clinical trial NCT02755597. Among the more effective regimen ingredients, find which ingredient starts with the letter 'V'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",VENETOCLAX,Ingredient
"""For clinical trial NCT00833833. Among the more effective regimen ingredients, find which ingredient starts with the letter 'D'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",DEXAMETHASONE,Ingredient
"""For clinical trial NCT01973387. Among the more effective regimen ingredients, find which ingredient starts with the letter 'I'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",IBRUTINIB,Ingredient
"""For clinical trial NCT00843882. Among the more effective regimen ingredients, find which ingredient starts with the letter 'L'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",LENALIDOMIDE,Ingredient
"""For clinical trial NCT01231412. Among the more effective regimen ingredients, find which ingredient starts with the letter 'S'.\nReturn only the name of the ingredient or UNKNOWN in all CAPS in the format of INGREDIENT: name.""",SIROLIMUS,Ingredient
"""First, for clinical trial NCT00974311, among the more effective regimen ingredients, identify which ingredient starts with the letter 'E'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",ASTELLAS,Applicant_Full_Name
"""First, for clinical trial NCT02838420, among the less effective regimen ingredients, identify which ingredient starts with the letter 'C'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",PF PRISM CV,Applicant_Full_Name
"""First, for clinical trial NCT01938001, among the more effective regimen ingredients, identify which ingredient starts with the letter 'L'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",BRISTOL MYERS SQUIBB,Applicant_Full_Name
"""First, for clinical trial NCT00071799, among the more effective regimen ingredients, identify which ingredient starts with the letter 'A'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",BRISTOL,Applicant_Full_Name
"""First, for clinical trial NCT00720512, among the more effective regimen ingredients, identify which ingredient starts with the letter 'I'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",IPSEN,Applicant_Full_Name
"""First, for clinical trial NCT02755597, among the more effective regimen ingredients, identify which ingredient starts with the letter 'V'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",ABBVIE,Applicant_Full_Name
"""First, for clinical trial NCT00833833, among the more effective regimen ingredients, identify which ingredient starts with the letter 'D'.\n\nThen, find which company has the latest FDA approval date up till Dec, 2024 for this identified ingredient. Note that we are only looking for overall FDA drug approval, not new indications or supplemental approvals.\nReturn only the company name in format of COMPANY: name.""",DEXCEL,Applicant_Full_Name
