question,correct_answer,model_output,extracted_info,correct,urls
"Find/search the clinical trial id that best describes the efficacy of Tasquinimod monotherapy compared to Placebo when used to treat Prostate cancer.
Output it in the format NCT<Number>",NCT01234311,NCT01234311,NCT01234311,True,
"Find/search the clinical trial id that best describes the efficacy of Panitumumab monotherapy compared to Best supportive care when used to treat Colorectal cancer (Metastatic).
Output it in the format NCT<Number>",NCT00113763,NCT00113763,NCT00113763,True,
"Find/search the clinical trial id that best describes the efficacy of Capecitabine monotherapy compared to Observation when used to treat Nasopharyngeal carcinoma.
Output it in the format NCT<Number>",NCT02958111,NCT02143397,NCT02143397,False,
"Find/search the clinical trial id that best describes the efficacy of Cisplatin and Fluorouracil (CF) compared to Cisplatin and Gemcitabine (GC) when used to treat Nasopharyngeal carcinoma.
Output it in the format NCT<Number>",NCT03321539,NCT00677118,NCT00677118,False,
"Find/search the clinical trial id that best describes the efficacy of Goserelin monotherapy compared to Degarelix monotherapy when used to treat Prostate cancer.
Output it in the format NCT<Number>",NCT01964170,NCT00295750,NCT00295750,False,
"Find/search the clinical trial id that best describes the efficacy of Enzalutamide monotherapy compared to Placebo when used to treat Prostate cancer.
Output it in the format NCT<Number>",NCT02294461,NCT01212991,NCT01212991,False,
"Find/search the clinical trial id that best describes the efficacy of Carboplatin and Paclitaxel (CP) and Figitumumab compared to Carboplatin and Paclitaxel (CP) when used to treat Non-small cell lung cancer.
Output it in the format NCT<Number>",NCT00596830,NCT00637160,NCT00637160,False,
"Find/search the clinical trial id that best describes the efficacy of Capecitabine and Sunitinib compared to Capecitabine monotherapy when used to treat Breast cancer.
Output it in the format NCT<Number>",NCT00435409,NCT00400449,NCT00400449,False,
"Find/search the clinical trial id that best describes the efficacy of Erlotinib monotherapy compared to Dacomitinib monotherapy when used to treat Non-small cell lung cancer.
Output it in the format NCT<Number>",NCT00769067,NCT01774721,NCT01774721,False,
"Find/search the clinical trial id that best describes the efficacy of Sunitinib monotherapy compared to Masitinib monotherapy when used to treat Gastrointestinal stromal tumor.
Output it in the format NCT<Number>",NCT01506336,NCT01198428,NCT01198428,False,
