Model,Search,Accuracy,Correct,Total,CSV_Path
gemini-1.0-pro,No,0.0,0,950,./results/gemini-1.0-pro_no_search.csv
gemini-1.0-pro,Yes,0.0,0,950,./results/gemini-1.0-pro_with_search.csv
gemini-1.0-pro-vision,No,0.0,0,950,./results/gemini-1.0-pro-vision_no_search.csv
gemini-1.0-pro-vision,Yes,0.0,0,950,./results/gemini-1.0-pro-vision_with_search.csv
gemini-1.5-pro,No,0.3157894736842105,300,950,./results/gemini-1.5-pro_no_search.csv
gemini-1.5-pro,Yes,0.023157894736842106,22,950,./results/gemini-1.5-pro_with_search.csv
gemini-1.5-flash,No,0.024210526315789474,23,950,./results/gemini-1.5-flash_no_search.csv
gemini-1.5-flash,Yes,0.00631578947368421,6,950,./results/gemini-1.5-flash_with_search.csv
gemini-2.0-pro,No,0.0,0,950,./results/gemini-2.0-pro_no_search.csv
gemini-2.0-pro,Yes,0.0,0,950,./results/gemini-2.0-pro_with_search.csv
gemini-2.0-flash,No,0.3294736842105263,313,950,./results/gemini-2.0-flash_no_search.csv
gemini-2.0-flash,Yes,0.2810526315789474,267,950,./results/gemini-2.0-flash_with_search.csv
gemini-2.5-pro-exp-03-25,No,0.0010526315789473684,1,950,./results/gemini-2.5-pro-exp-03-25_no_search.csv
gemini-2.5-pro-exp-03-25,Yes,0.0,0,950,./results/gemini-2.5-pro-exp-03-25_with_search.csv
